datetime,symbol,side,quantity,price,realized_pnl_after_trade,notes
2025-12-11T14:56:50.690193,BANKNIFTY,BUY,25,55000.0,0.0,
2025-12-11T14:56:51.153139,BANKNIFTY,BUY,25,55000.0,0.0,
2025-12-11T14:56:51.842838,BANKNIFTY,SELL,25,55000.0,0.0,
2025-12-11T14:56:52.003851,BANKNIFTY,SELL,25,55000.0,0.0,
2025-12-11T14:56:53.321334,NIFTY,BUY,25,25870.0,0.0,
2025-12-11T15:05:37.143633,BANKNIFTY,BUY,25,55000.0,0.0,
2025-12-11T15:05:38.335784,BANKNIFTY,SELL,25,55000.0,0.0,
2025-12-11T15:05:39.536341,NIFTY,BUY,25,25870.0,0.0,
2025-12-11T15:05:39.930274,NIFTY,BUY,25,25870.0,0.0,
2025-12-11T15:05:40.135431,NIFTY,BUY,25,25870.0,0.0,
2025-12-11T15:05:40.490286,NIFTY,SELL,25,25870.0,0.0,
2025-12-11T15:06:02.412936,BANKNIFTY,BUY,25,55000.0,0.0,
2025-12-11T15:06:02.693014,BANKNIFTY,BUY,25,55000.0,0.0,
2025-12-11T15:06:02.827046,BANKNIFTY,BUY,25,55000.0,0.0,
2025-12-11T15:06:03.199835,BANKNIFTY,SELL,25,55000.0,0.0,
2025-12-11T15:06:03.381241,BANKNIFTY,SELL,25,55000.0,0.0,
2025-12-11T15:06:43.864516,NIFTY,BUY,25,25870.0,0.0,
2025-12-11T15:06:44.365536,NIFTY,SELL,25,25870.0,0.0,
2025-12-11T15:06:44.682400,NIFTY,SELL,25,25870.0,0.0,
2025-12-11T15:06:45.451766,BANKNIFTY,BUY,25,55000.0,0.0,
2025-12-11T15:11:34.260810,NIFTY,BUY,25,25870.0,0.0,
2025-12-11T15:11:36.058169,BANKNIFTY,SELL,25,55000.0,0.0,
2025-12-11T15:34:25.718564,NIFTY,BUY,25,25870.0,0.0,
2025-12-11T15:35:05.626817,NIFTY,BUY,25,25870.0,0.0,
2025-12-11T17:57:37.231405,BANKNIFTY,BUY,25,55000.0,0.0,
